,Z,W
881,108.81,21.48
882,108.82,21.51
883,108.83,21.54
884,108.84,21.56
885,108.85,21.59
886,108.86,21.62
887,108.87,21.65
888,108.88,21.68
889,108.89,21.71
890,108.90,21.73
891,108.91,21.76
892,108.92,21.79
893,108.93,21.82
894,108.94,21.85
895,108.95,21.88
896,108.96,21.91
897,108.97,21.93
898,108.98,21.96
899,108.99,21.99
900,109.00,22.02
901,109.01,22.05
902,109.02,22.08
903,109.03,22.11
904,109.04,22.13
905,109.05,22.16
906,109.06,22.19
907,109.07,22.22
908,109.08,22.25
909,109.09,22.28
910,109.10,22.31
911,109.11,22.34
912,109.12,22.36
913,109.13,22.39
914,109.14,22.42
915,109.15,22.45
916,109.16,22.48
917,109.17,22.51
918,109.18,22.54
919,109.19,22.57
920,109.20,22.60
921,109.21,22.63
922,109.22,22.65
923,109.23,22.68
924,109.24,22.71
925,109.25,22.74
926,109.26,22.77
927,109.27,22.80
928,109.28,22.83
929,109.29,22.86
930,109.30,22.89
931,109.31,22.92
932,109.32,22.95
933,109.33,22.98
934,109.34,23.01
935,109.35,23.04
936,109.36,23.06
937,109.37,23.09
938,109.38,23.12
939,109.39,23.15
940,109.40,23.18
941,109.41,23.21
942,109.42,23.24
943,109.43,23.27
944,109.44,23.30
945,109.45,23.33
946,109.46,23.36
947,109.47,23.39
948,109.48,23.42
949,109.49,23.45
950,109.50,23.48
951,109.51,23.51
952,109.52,23.54
953,109.53,23.57
954,109.54,23.60
955,109.55,23.63
956,109.56,23.66
957,109.57,23.69
958,109.58,23.72
959,109.59,23.75
960,109.60,23.78
961,109.61,23.81
962,109.62,23.84
963,109.63,23.87
964,109.64,23.90
965,109.65,23.93
966,109.66,23.96
967,109.67,23.99
968,109.68,24.02
969,109.69,24.05
970,109.70,24.08
971,109.71,24.11
972,109.72,24.14
973,109.73,24.17
974,109.74,24.20
975,109.75,24.23
976,109.76,24.26
977,109.77,24.29
978,109.78,24.32
979,109.79,24.35
980,109.80,24.38
981,109.81,24.41
982,109.82,24.44
983,109.83,24.47
984,109.84,24.50
985,109.85,24.53
986,109.86,24.56
987,109.87,24.59
988,109.88,24.62
989,109.89,24.65
990,109.90,24.68
991,109.91,24.71
992,109.92,24.74
993,109.93,24.78
994,109.94,24.81
995,109.95,24.84
996,109.96,24.87
997,109.97,24.90
998,109.98,24.93
999,109.99,24.96
1000,110.00,24.99
1001,110.01,25.02
1002,110.02,25.05
1003,110.03,25.08
1004,110.04,25.11
1005,110.05,25.14
1006,110.06,25.17
1007,110.07,25.21
1008,110.08,25.24
1009,110.09,25.27
1010,110.10,25.30
1011,110.11,25.33
1012,110.12,25.36
1013,110.13,25.39
1014,110.14,25.42
1015,110.15,25.45
1016,110.16,25.49
1017,110.17,25.52
1018,110.18,25.55
1019,110.19,25.58
1020,110.20,25.61
1021,110.21,25.64
1022,110.22,25.67
1023,110.23,25.70
1024,110.24,25.73
1025,110.25,25.77
1026,110.26,25.80
1027,110.27,25.83
1028,110.28,25.86
1029,110.29,25.89
1030,110.30,25.92
1031,110.31,25.95
1032,110.32,25.99
1033,110.33,26.02
1034,110.34,26.05
1035,110.35,26.08
1036,110.36,26.11
1037,110.37,26.14
1038,110.38,26.17
1039,110.39,26.21
1040,110.40,26.24
1041,110.41,26.27
